name,birthDay,phoneNumber,EMail,relationship
bababa,1224,0937-111111,9501sam@gmail.com,friend
lalala,0101,0937-222222,9501sam@gmail.com,friend
jajaja,1111,0937-333333,9501sam@gmail.com,classmate
bababa,1224,0937-111111,9501sam@gmail.com,friend
hahaha,1224,0937-111111,9501sam@gmail.com,classmate
bababa,1224,0937-111111,9501sam@gmail.com,friend
lalala,1224,0937-111111,9501sam@gmail.com,friend
bababa,1224,0937-333333,asdfasdf@gmail.com,classmate
lalala,1224,0937-111111,9501sam@gmail.com,friend
bababa,1224,0937-222222,9501sam@gmail.com,classmate
hahaha,1224,0937-111111,9501sam@gmail.com,classmate
lalala,1224,0937-222222,9501sam@gmail.com,classmate
bababa,1224,0937-111111,9501sam@gmail.com,friend
bababa,1224,0937-111111,9501sam@gmail.com,classmate
lalala,1224,0937-111111,9501sam@gmail.com,classmate
hahaha,1224,0937-222222,9501sam@gmail.com,friend
hahaha,1224,0937-111111,9501sam@gmail.com,classmate
asdfasdf,1111,4321-654321,asdf@adf.asdf,friend
hahaha,1213,1234-123456,zxcv@asdf.qwer,hahaha
